customerID,Weight,Height,Age,Gender
174628,73.84701702,241.8935632,52,Male
987389,68.78190405,162.3104725,40,Male
134562,74.11010539,212.7408556,47,Male
602800,71.7309784,220.0424703,54,Male
496134,69.88179586,206.3498006,30,Male
978135,67.25301569,152.2121558,37,Male
147719,68.78508125,183.9278886,59,Male
817077,68.34851551,167.9711105,31,Male
486660,67.01894966,175.9294404,59,Male
344333,63.45649398,156.3996764,59,Male
793142,71.19538228,186.6049256,38,Male
362023,71.64080512,213.7411695,60,Male
213703,64.76632913,167.1274611,31,Male
843073,69.2830701,189.4461814,27,Male
989729,69.24373223,186.434168,37,Male
212466,67.6456197,172.1869301,41,Male
320097,72.41831663,196.0285063,58,Male
474465,63.97432572,172.8834702,43,Male
365961,69.6400599,185.9839576,29,Male
472884,67.93600485,182.426648,39,Male
954828,67.91505019,174.1159291,51,Male
983085,69.43943987,197.7314216,27,Male
792160,66.14913196,149.173566,45,Male
695854,75.20597361,228.7617806,56,Male
948811,67.89319634,162.0066518,56,Male
137161,68.1440328,192.3439766,31,Male
292854,69.08963143,184.4351744,59,Male
104577,72.80084352,206.8281894,31,Male
988988,67.42124228,175.2139224,38,Male
164029,68.49641536,154.3426389,37,Male
347239,68.61811055,187.5068432,29,Male
981964,74.03380762,212.9102253,45,Male
899042,71.52821604,195.0322432,38,Male
152860,69.1801611,205.1836213,43,Male
530904,69.57720237,204.1641255,33,Male
300370,70.40092889,192.9035151,53,Male
634626,69.07617117,197.4882426,33,Male
349870,67.19352328,183.8109732,42,Male
261751,65.80731565,163.8518249,49,Male
710137,64.30418789,163.1080171,53,Male
836223,67.97433623,172.1355974,31,Male
577749,72.18942596,194.0454049,49,Male
340057,65.27034552,168.6177462,28,Male
405593,66.09017738,161.1934326,36,Male
689838,67.51032152,164.6602773,27,Male
365011,70.10478626,188.9223032,38,Male
445617,68.25183644,187.0605522,52,Male
983294,72.17270912,209.0708634,44,Male
336216,69.17985762,192.0143354,32,Male
431527,72.87036015,211.3424968,58,Male
582144,64.78258298,165.6116262,51,Male
146229,70.18354989,201.0719181,55,Male
124724,68.49145025,173.4239603,60,Male
328864,67.33083088,181.4076793,52,Male
206994,66.99094408,169.7377074,44,Male
282300,66.4995499,163.3095283,33,Male
413582,68.35305665,189.7102099,37,Male
